Overriding config with config/train_tinystories.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-experiment2_width-n_embd_192'
eval_interval = 250
eval_iters = 200
log_interval = 10

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'experiment2_width_n_embd_192'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model :)
n_layer = 6
n_head = 8
n_embd = 192
dropout = 0.0

learning_rate = 0.001
max_iters = 5000
lr_decay_iters = 5000
min_lr = 0.0001
beta2 = 0.99

warmup_iters = 100

device = 'cuda:1'

tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 2.70M
num decayed parameter tensors: 26, with 2,747,136 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.4563, val loss 5.4565
iter 0: loss 5.4536, time 10752.14ms, mfu -100.00%
iter 10: loss 4.4081, time 4.71ms, mfu 21.99%
iter 20: loss 3.8762, time 4.83ms, mfu 21.94%
iter 30: loss 3.3484, time 4.72ms, mfu 21.94%
iter 40: loss 2.9102, time 4.60ms, mfu 22.00%
iter 50: loss 2.6079, time 4.66ms, mfu 22.03%
iter 60: loss 2.5168, time 4.71ms, mfu 22.03%
iter 70: loss 2.3991, time 4.80ms, mfu 21.98%
iter 80: loss 2.3714, time 4.81ms, mfu 21.94%
iter 90: loss 2.3178, time 4.79ms, mfu 21.91%
iter 100: loss 2.3102, time 4.79ms, mfu 21.88%
iter 110: loss 2.2937, time 4.59ms, mfu 21.95%
iter 120: loss 2.2537, time 4.72ms, mfu 21.95%
iter 130: loss 2.2176, time 4.59ms, mfu 22.02%
iter 140: loss 2.1704, time 4.57ms, mfu 22.09%
iter 150: loss 2.1957, time 4.65ms, mfu 22.11%
iter 160: loss 2.1522, time 4.69ms, mfu 22.10%
iter 170: loss 2.1072, time 4.33ms, mfu 22.29%
iter 180: loss 2.0714, time 4.59ms, mfu 22.32%
iter 190: loss 2.0589, time 4.57ms, mfu 22.36%
iter 200: loss 2.0083, time 4.50ms, mfu 22.42%
iter 210: loss 1.9861, time 4.31ms, mfu 22.58%
iter 220: loss 1.9437, time 4.69ms, mfu 22.54%
iter 230: loss 1.9268, time 4.57ms, mfu 22.55%
iter 240: loss 1.8628, time 4.70ms, mfu 22.50%
step 250: train loss 1.8349, val loss 1.8332
saving checkpoint to out-experiment2_width-n_embd_192
iter 250: loss 1.8609, time 1260.51ms, mfu 20.26%
iter 260: loss 1.7815, time 4.64ms, mfu 20.47%
iter 270: loss 1.7520, time 4.68ms, mfu 20.63%
iter 280: loss 1.7234, time 4.72ms, mfu 20.77%
iter 290: loss 1.6729, time 4.59ms, mfu 20.95%
iter 300: loss 1.6221, time 4.85ms, mfu 20.99%
iter 310: loss 1.6253, time 4.56ms, mfu 21.17%
iter 320: loss 1.5957, time 4.81ms, mfu 21.20%
iter 330: loss 1.5448, time 4.64ms, mfu 21.32%
iter 340: loss 1.4976, time 4.66ms, mfu 21.41%
iter 350: loss 1.4863, time 4.68ms, mfu 21.48%
iter 360: loss 1.4546, time 4.37ms, mfu 21.71%
iter 370: loss 1.4495, time 4.73ms, mfu 21.73%
iter 380: loss 1.4444, time 4.71ms, mfu 21.76%
iter 390: loss 1.3420, time 4.64ms, mfu 21.82%
iter 400: loss 1.3731, time 4.67ms, mfu 21.85%
iter 410: loss 1.3450, time 4.60ms, mfu 21.92%
iter 420: loss 1.3465, time 4.75ms, mfu 21.92%
iter 430: loss 1.3481, time 4.69ms, mfu 21.93%
iter 440: loss 1.3288, time 4.69ms, mfu 21.95%
iter 450: loss 1.2939, time 4.72ms, mfu 21.95%
iter 460: loss 1.2979, time 4.76ms, mfu 21.93%
iter 470: loss 1.2684, time 4.79ms, mfu 21.90%
iter 480: loss 1.3021, time 4.76ms, mfu 21.89%
iter 490: loss 1.2259, time 5.33ms, mfu 21.65%
step 500: train loss 1.2217, val loss 1.2218
saving checkpoint to out-experiment2_width-n_embd_192
iter 500: loss 1.2488, time 1471.22ms, mfu 19.49%
iter 510: loss 1.1970, time 4.61ms, mfu 19.79%
iter 520: loss 1.1908, time 4.65ms, mfu 20.04%
iter 530: loss 1.1616, time 4.81ms, mfu 20.19%
iter 540: loss 1.2002, time 4.64ms, mfu 20.40%
iter 550: loss 1.1849, time 4.80ms, mfu 20.52%
iter 560: loss 1.1615, time 4.72ms, mfu 20.67%
iter 570: loss 1.1466, time 4.75ms, mfu 20.78%
iter 580: loss 1.1102, time 4.82ms, mfu 20.85%
iter 590: loss 1.1497, time 4.76ms, mfu 20.95%
iter 600: loss 1.1368, time 4.82ms, mfu 21.00%
iter 610: loss 1.0609, time 4.78ms, mfu 21.07%
iter 620: loss 1.0414, time 4.65ms, mfu 21.19%
iter 630: loss 1.0905, time 4.84ms, mfu 21.21%
iter 640: loss 1.0441, time 4.74ms, mfu 21.28%
iter 650: loss 1.0674, time 4.69ms, mfu 21.36%
iter 660: loss 1.0867, time 4.70ms, mfu 21.43%
iter 670: loss 1.0441, time 4.61ms, mfu 21.54%
iter 680: loss 1.0334, time 4.63ms, mfu 21.62%
iter 690: loss 1.0656, time 4.69ms, mfu 21.67%
iter 700: loss 1.0728, time 4.31ms, mfu 21.91%
iter 710: loss 1.0469, time 4.35ms, mfu 22.10%
iter 720: loss 1.0477, time 4.42ms, mfu 22.24%
iter 730: loss 1.0160, time 4.58ms, mfu 22.27%
iter 740: loss 1.0336, time 4.60ms, mfu 22.30%
step 750: train loss 1.0208, val loss 1.0223
saving checkpoint to out-experiment2_width-n_embd_192
iter 750: loss 1.0312, time 1401.68ms, mfu 20.08%
iter 760: loss 1.0259, time 4.78ms, mfu 20.24%
iter 770: loss 0.9774, time 4.76ms, mfu 20.39%
iter 780: loss 1.0159, time 4.87ms, mfu 20.48%
iter 790: loss 1.0333, time 4.86ms, mfu 20.57%
iter 800: loss 0.9781, time 4.83ms, mfu 20.66%
iter 810: loss 0.9745, time 4.72ms, mfu 20.79%
iter 820: loss 0.9781, time 4.90ms, mfu 20.82%
iter 830: loss 1.0061, time 4.78ms, mfu 20.91%
iter 840: loss 0.9725, time 4.72ms, mfu 21.02%
iter 850: loss 0.9748, time 4.87ms, mfu 21.05%
iter 860: loss 0.9972, time 4.66ms, mfu 21.17%
iter 870: loss 1.0039, time 4.78ms, mfu 21.22%
iter 880: loss 0.9507, time 4.74ms, mfu 21.28%
iter 890: loss 0.9287, time 4.56ms, mfu 21.43%
iter 900: loss 0.9833, time 4.37ms, mfu 21.66%
iter 910: loss 0.9580, time 4.61ms, mfu 21.74%
iter 920: loss 0.9429, time 4.60ms, mfu 21.82%
iter 930: loss 1.0054, time 4.37ms, mfu 22.01%
iter 940: loss 0.9670, time 4.62ms, mfu 22.05%
iter 950: loss 0.9053, time 4.53ms, mfu 22.14%
iter 960: loss 0.9183, time 4.38ms, mfu 22.29%
iter 970: loss 0.9121, time 4.35ms, mfu 22.45%
iter 980: loss 0.9154, time 4.72ms, mfu 22.40%
iter 990: loss 0.9030, time 4.69ms, mfu 22.37%
step 1000: train loss 0.9195, val loss 0.9203
saving checkpoint to out-experiment2_width-n_embd_192
iter 1000: loss 0.9347, time 1437.58ms, mfu 20.14%
iter 1010: loss 0.9088, time 4.72ms, mfu 20.32%
iter 1020: loss 0.9429, time 4.38ms, mfu 20.66%
iter 1030: loss 0.9013, time 4.33ms, mfu 20.99%
iter 1040: loss 0.9158, time 4.61ms, mfu 21.14%
iter 1050: loss 0.9283, time 4.34ms, mfu 21.41%
iter 1060: loss 0.8879, time 4.58ms, mfu 21.53%
iter 1070: loss 0.8999, time 4.36ms, mfu 21.75%
iter 1080: loss 0.8682, time 4.72ms, mfu 21.77%
iter 1090: loss 0.9003, time 4.63ms, mfu 21.83%
iter 1100: loss 0.9148, time 4.59ms, mfu 21.91%
iter 1110: loss 0.9037, time 4.69ms, mfu 21.93%
iter 1120: loss 0.9083, time 4.80ms, mfu 21.89%
iter 1130: loss 0.8853, time 4.58ms, mfu 21.97%
iter 1140: loss 0.8678, time 4.68ms, mfu 21.99%
iter 1150: loss 0.8872, time 4.45ms, mfu 22.12%
iter 1160: loss 0.8516, time 4.43ms, mfu 22.25%
iter 1170: loss 0.8934, time 4.54ms, mfu 22.31%
iter 1180: loss 0.8461, time 4.37ms, mfu 22.45%
iter 1190: loss 0.8481, time 4.32ms, mfu 22.61%
iter 1200: loss 0.8952, time 4.50ms, mfu 22.65%
