Overriding config with config/train_tinystories.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-experiment3_heads-n_head_16'
eval_interval = 250
eval_iters = 200
log_interval = 10

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'experiment3_heads_n_head_16'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model :)
n_layer = 6
n_head = 16
n_embd = 256
dropout = 0.0

learning_rate = 0.001
max_iters = 5000
lr_decay_iters = 5000
min_lr = 0.0001
beta2 = 0.99

warmup_iters = 100

device = 'cuda:1'

tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.78M
num decayed parameter tensors: 26, with 4,842,496 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.4059, val loss 5.4060
iter 0: loss 5.4066, time 9424.48ms, mfu -100.00%
iter 10: loss 4.0946, time 4.62ms, mfu 37.97%
iter 20: loss 3.4589, time 4.48ms, mfu 38.09%
iter 30: loss 2.9134, time 4.35ms, mfu 38.32%
iter 40: loss 2.5844, time 4.50ms, mfu 38.38%
iter 50: loss 2.4101, time 4.62ms, mfu 38.34%
iter 60: loss 2.3600, time 4.51ms, mfu 38.40%
iter 70: loss 2.3474, time 4.45ms, mfu 38.50%
iter 80: loss 2.2889, time 4.55ms, mfu 38.50%
iter 90: loss 2.3037, time 4.53ms, mfu 38.52%
iter 100: loss 2.2925, time 4.52ms, mfu 38.55%
iter 110: loss 2.2360, time 4.48ms, mfu 38.61%
iter 120: loss 2.1809, time 4.52ms, mfu 38.63%
iter 130: loss 2.2016, time 4.35ms, mfu 38.80%
iter 140: loss 2.1669, time 4.47ms, mfu 38.84%
iter 150: loss 2.1443, time 4.46ms, mfu 38.89%
iter 160: loss 2.1031, time 4.62ms, mfu 38.80%
iter 170: loss 2.0464, time 4.61ms, mfu 38.72%
iter 180: loss 2.0093, time 4.46ms, mfu 38.78%
iter 190: loss 2.0115, time 4.56ms, mfu 38.75%
iter 200: loss 1.9226, time 4.56ms, mfu 38.72%
iter 210: loss 1.9047, time 4.51ms, mfu 38.73%
iter 220: loss 1.8748, time 4.45ms, mfu 38.80%
iter 230: loss 1.7906, time 4.47ms, mfu 38.84%
iter 240: loss 1.7666, time 4.50ms, mfu 38.85%
step 250: train loss 1.7119, val loss 1.7089
saving checkpoint to out-experiment3_heads-n_head_16
iter 250: loss 1.7089, time 1520.94ms, mfu 34.98%
iter 260: loss 1.6806, time 4.64ms, mfu 35.26%
iter 270: loss 1.6160, time 4.77ms, mfu 35.41%
iter 280: loss 1.5807, time 4.48ms, mfu 35.78%
iter 290: loss 1.5904, time 4.61ms, mfu 36.01%
iter 300: loss 1.5298, time 4.65ms, mfu 36.18%
iter 310: loss 1.4889, time 4.55ms, mfu 36.41%
iter 320: loss 1.4107, time 4.79ms, mfu 36.43%
iter 330: loss 1.4159, time 4.63ms, mfu 36.57%
iter 340: loss 1.3897, time 4.73ms, mfu 36.63%
iter 350: loss 1.3796, time 4.27ms, mfu 37.07%
iter 360: loss 1.2790, time 4.60ms, mfu 37.17%
iter 370: loss 1.3427, time 4.55ms, mfu 37.31%
iter 380: loss 1.2925, time 4.26ms, mfu 37.69%
iter 390: loss 1.2616, time 4.61ms, mfu 37.73%
iter 400: loss 1.2747, time 4.52ms, mfu 37.84%
iter 410: loss 1.2384, time 4.37ms, mfu 38.07%
iter 420: loss 1.2332, time 4.65ms, mfu 38.04%
iter 430: loss 1.1844, time 4.63ms, mfu 38.02%
iter 440: loss 1.1540, time 4.28ms, mfu 38.32%
iter 450: loss 1.1984, time 4.60ms, mfu 38.30%
iter 460: loss 1.1948, time 4.27ms, mfu 38.57%
iter 470: loss 1.1588, time 4.28ms, mfu 38.81%
iter 480: loss 1.1376, time 4.59ms, mfu 38.75%
iter 490: loss 1.1359, time 4.51ms, mfu 38.77%
step 500: train loss 1.1123, val loss 1.1122
saving checkpoint to out-experiment3_heads-n_head_16
iter 500: loss 1.1485, time 1870.28ms, mfu 34.90%
iter 510: loss 1.1098, time 4.74ms, mfu 35.11%
iter 520: loss 1.0576, time 4.66ms, mfu 35.36%
iter 530: loss 1.0679, time 4.63ms, mfu 35.61%
iter 540: loss 1.1012, time 4.33ms, mfu 36.10%
iter 550: loss 1.0573, time 4.54ms, mfu 36.36%
iter 560: loss 1.0447, time 4.70ms, mfu 36.45%
iter 570: loss 1.0287, time 4.34ms, mfu 36.85%
iter 580: loss 1.0815, time 4.59ms, mfu 36.99%
iter 590: loss 1.0284, time 4.66ms, mfu 37.06%
iter 600: loss 1.0244, time 4.38ms, mfu 37.35%
iter 610: loss 1.0381, time 4.73ms, mfu 37.32%
iter 620: loss 0.9796, time 4.76ms, mfu 37.28%
iter 630: loss 1.0566, time 4.68ms, mfu 37.30%
iter 640: loss 1.0114, time 4.46ms, mfu 37.50%
iter 650: loss 1.0294, time 4.64ms, mfu 37.53%
